2020-01-09T07:12:00.000 ps1::g 17.93179 0.3512122
2020-01-09T07:12:00.000 ps1::r 17.564781 0.31039757
2020-01-09T07:12:00.000 ps1::i 17.506329 0.3579818
2020-01-09T07:12:00.000 ps1::z 17.76774 0.36227196
2020-01-09T07:12:00.000 ps1::y 18.319204 0.21738818
2020-01-11T07:12:00.000 ps1::g 19.124138 0.27610978
2020-01-11T07:12:00.000 ps1::r 18.082361 0.13038799
2020-01-11T07:12:00.000 ps1::i 17.72966 0.31772766
2020-01-11T07:12:00.000 ps1::z 18.322603 0.20503403
2020-01-11T07:12:00.000 ps1::y 17.821108 0.2148191
2020-01-13T07:12:00.000 ps1::g 19.177776 0.27055845
2020-01-13T07:12:00.000 ps1::r 18.910126 0.54305094
2020-01-13T07:12:00.000 ps1::i 18.191124 0.21711498
2020-01-13T07:12:00.000 ps1::z 18.998749 0.27393228
2020-01-13T07:12:00.000 ps1::y 18.878403 0.31293133
2020-01-15T07:12:00.000 ps1::g 19.644978 0.28580794
2020-01-15T07:12:00.000 ps1::r 18.812508 0.32742006
2020-01-15T07:12:00.000 ps1::i 18.889395 0.3151971
2020-01-15T07:12:00.000 ps1::z 19.430399 0.32631582
2020-01-15T07:12:00.000 ps1::y 20.213058 0.3564894
