mass_1,mass_2,chirp_mass,mass_ratio
1.3512,1.25214,1.1321848451448786,0.9266873889875666
1.3512,1.28509,1.1470788491990784,0.9510731201894613
1.38427,1.25214,1.145833796776246,0.904548968048141
1.38427,1.28509,1.1609437583781625,0.9283521278363326
1.41729,1.25214,1.1592664306548002,0.883474800499545
1.41729,1.28509,1.1745893981454834,0.9067233946475316
1.41729,1.31813,1.1897216830836386,0.9300354902666357
1.45022,1.2193,1.15675142348402,0.8407689867744205
1.45022,1.25214,1.1724745564930108,0.8634138268676477
1.45022,1.28509,1.1880074112246242,0.8861345175214795
1.45022,1.31813,1.2033475593406615,0.9089172677248969
1.48301,1.2193,1.1695148975178231,0.82217921659328
1.48301,1.25214,1.1854464805322957,0.8443233693636591
1.48301,1.28509,1.2011858819406287,0.866541695605559
1.48301,1.31813,1.216730602570591,0.8888207092332486
1.51564,1.2193,1.1820461116763792,0.8044786360877253
1.51564,1.25214,1.1981827293601193,0.8261460505133145
1.51564,1.28509,1.2141253106296717,0.8478860415402074
1.51564,1.31813,1.2298712860090504,0.8696854134227124
1.54804,1.2193,1.1943267158711637,0.7876411462236118
1.54804,1.25214,1.210664619487967,0.8088550683444872
1.54804,1.28509,1.2268066822651318,0.8301400480607736
1.54804,1.31813,1.2427502651240387,0.851483165809669
1.58018,1.2193,1.206354106412548,0.7716209545747954
1.58018,1.25214,1.2228894724601238,0.7924033970813452
1.58018,1.28509,1.2392272431326357,0.8132554519105419
1.58018,1.31813,1.2553647105305017,0.8341644622764496
1.61203,1.25214,1.2348546664059676,0.7767473310050061
1.61203,1.28509,1.251384298635968,0.7971873972568749
1.64353,1.25214,1.2465465521405117,0.7618601424981595
1.64353,1.28509,1.2632639512067783,0.7819084531465809
1.67465,1.28509,1.2748639671492596,0.7673782581434927
1.70536,1.28509,1.2861820986643357,0.7535593657644134
1.70536,1.31813,1.3030554070694143,0.772933574142703
1.73561,1.28509,1.297208822136121,0.7404255564326087
1.73561,1.31813,1.314255555054157,0.759462091137986
1.76537,1.28509,1.3079420570801195,0.7279437171811008
1.76537,1.31813,1.3251578127427968,0.7466593405348454
1.79461,1.31813,1.3357599792698862,0.7344938454594592
1.79461,1.3512,1.3529051010253086,0.7529212475133873
1.82329,1.31813,1.3460562095644617,0.7229403989491523
1.82329,1.3512,1.3633596588837849,0.7410779415232902
1.85138,1.31813,1.356044251884301,0.7119716103663214
1.85138,1.3512,1.3735014593934234,0.7298339616934395
1.85138,1.38427,1.390713009462109,0.7476963130205576
1.87885,1.31813,1.3657217575420386,0.7015621257684223
1.87885,1.3512,1.383328098067146,0.7191633179870666
1.87885,1.38427,1.40068713772322,0.7367645102057109
1.90568,1.31813,1.375089749682628,0.6916848578984929
1.90568,1.3512,1.3928405954408243,0.7090382435666008
1.90568,1.38427,1.4103425549623014,0.7263916292347088
1.93184,1.3512,1.40203624046547,0.6994368063607752
1.93184,1.38427,1.4196764919054083,0.7165552012589034
1.9573,1.3512,1.4109122098286397,0.6903387319266336
1.9573,1.38427,1.4286860663368985,0.7072344556276503
1.98205,1.3512,1.4194724502608598,0.6817184228450341
1.98205,1.38427,1.4373752690784858,0.6984031684367195
2.00606,1.3512,1.4277137355254765,0.6735591158788868
2.00606,1.38427,1.445740811026623,0.6900441661764851
2.02933,1.3512,1.4356429032843054,0.6658355220688602
2.02933,1.38427,1.4537896197104496,0.6821315409519398
2.05182,1.3512,1.4432528935919344,0.6585372985934438
2.05182,1.38427,1.4615145163438559,0.6746546968057626
2.07353,1.3512,1.4505500160801095,0.6516423683284062
2.07353,1.38427,1.468921894360456,0.6675910162862365
2.0944,1.3512,1.457520217730367,0.6451489686783805
2.0944,1.38427,1.4759974776429856,0.6609386936592819
2.11437,1.3512,1.4641495546282939,0.639055605215738
2.11437,1.38427,1.4827271011016685,0.6546961979218395
2.13334,1.3512,1.4704109795990978,0.6333730207093102
2.13334,1.38427,1.489083298318639,0.6488745347670788
2.15123,1.3512,1.4762842843327793,0.6281057813436964
2.15123,1.38427,1.4950455452964178,0.6434783821348716
2.16796,1.3512,1.481749326101794,0.6232587317109172
2.16796,1.38427,1.5005933848763857,0.6385127031864056
2.18343,1.3512,1.4867794646068182,0.6188428298594413
2.19755,1.3512,1.4913513096965496,0.6148665559372938
