   -0.779850600659847260E+01    0.100941656437732363E+01   -0.348437890803813932E+01   -0.263444645881652839E+01    0.238567140698432906E+00    0.109215849637985224E+00    0.231353139877319314E+00    0.248283636569976818E+00    0.302737945318222013E+00    0.163987473845481873E+03   -0.171273761553098448E+05   -0.623832398925672837E+01    1
   -0.906692242622375488E+01    0.720293112585042167E-01   -0.386408153700828549E+01   -0.347631231307983413E+01    0.174445880055427549E+00    0.130445718765258789E+00    0.179804039001464827E+00    0.206887924671173118E+00    0.305554586648941029E+00    0.163063805103302002E+03   -0.171171259161036796E+05   -0.624027711425674614E+01    1
   -0.498051565885543823E+01    0.801740901098071668E-01   -0.382370581221580519E+01   -0.260363817691802968E+01    0.263971209526062012E+00    0.128686690330505366E+00    0.292393982410430908E+00    0.308191895484924316E+00    0.301405906677246094E+00    0.192103736996650696E+03   -0.167265131073543744E+05   -0.624223023925675147E+01    1
   -0.511002853512763977E+01    0.799207361051673670E-01   -0.386040743482112880E+01   -0.333230186939239514E+01    0.131600270867347713E+00    0.972815811634063776E-01    0.306327092647552479E+00    0.211854922771453874E+00    0.311016154289245617E+00    0.131908996701240540E+03   -0.155590281344407867E+05   -0.624418336425673370E+01    1
   -0.577956485748291016E+01    0.883245708306158783E+00   -0.286907107913494119E+01   -0.350969876766204836E+01    0.290203100442886330E+00    0.961181581020355280E-01    0.319213438034057606E+00    0.376525676250457797E+00    0.316832578182220437E+00    0.157760747671127319E+03   -0.154601075018940464E+05   -0.624613648925673814E+01    1
   -0.949083420634269714E+01    0.809752261820545494E+00   -0.168393729102611545E+01   -0.397577473163604722E+01    0.322945153713226296E+00    0.703348278999328669E-01    0.245069324970245361E+00    0.304295635223388705E+00    0.324585342407226529E+00    0.146481277942657471E+03   -0.147526215165324084E+05   -0.624808961425675236E+01    1
   -0.737678514420986176E+01    0.409471566214313076E+00   -0.201197622501850137E+01   -0.363781861305236820E+01    0.310718159079551692E+00    0.674388945102691595E-01    0.281437540054321311E+00    0.309808611869812012E+00    0.314806276559829679E+00    0.941855639219284058E+02   -0.137948464821353155E+05   -0.625004273925673637E+01    1
   -0.967568141222000122E+01    0.126866119006513833E+01   -0.367538397777080528E+01   -0.287643074512481700E+01    0.309226694703102101E+00    0.944699287414550726E-01    0.172036719322204573E+00    0.381768083572387729E+00    0.312112909555435192E+00    0.711272197961807251E+02   -0.129466688048700034E+05   -0.625199586425673903E+01    1
   -0.502917902171611786E+01    0.366933840793021160E+00   -0.213270217013359087E+01   -0.277360360622405988E+01    0.169976257681846599E+00    0.800943493843078586E-01    0.162635624408721924E+00    0.216796219348907471E+00    0.303005897998809781E+00    0.888676142692565918E+02   -0.120127311350263790E+05   -0.625394898925674969E+01    1
   -0.808771528303623199E+01    0.787445593321122739E+00   -0.384084787011146567E+01   -0.320291262149810807E+01    0.234734798073768597E+00    0.977495551109313909E-01    0.213022768497467041E+00    0.363495159149169966E+00    0.401786613464355458E+00    0.169797047972679138E+03   -0.100460200367304078E+05   -0.625590211425673193E+01    1
   -0.569215305149555206E+01    0.949210159121739006E+00   -0.175569782805442820E+01   -0.394774802207946784E+01    0.200312780737876894E+00    0.109751123189926136E+00    0.239196932315826394E+00    0.378217816352844238E+00    0.352114623785018899E+00    0.198104973435401917E+03   -0.892524047698452159E+04   -0.625785523925673726E+01    1
